Prompt,Response,Description,Testcase name
Generate a robot framework test case for testing to Validate Merchant Is Able To Filter With Customer Number In Failed PayNOW Logins functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the merchant is able to filter with customer number in failed PayNOW logins functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${MERCHANT_DETAILS}          merchant_details

*** Test Cases ***
Validate Filter With Customer Number In Failed PayNOW Logins
    [Documentation]    Test case for validating that the merchant is able to filter with customer number in failed PayNOW logins functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Merchant Details    ${MERCHANT_DETAILS}
    Filter With Customer Number In Failed PayNOW Logins",This test case checks the validation for filtering with customer number in failed PayNOW logins functionality of the PayNOW datadriver.,Validate Filter With Customer Number In Failed PayNOW Logins
Generate a robot framework test case for testing to Validate Merchant Is Able To View Number Of Recent And Total Login Failed Attempts functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the merchant is able to view number of recent and total login failed attempts functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${MERCHANT_DETAILS}          merchant_details

*** Test Cases ***
Validate View Number Of Recent And Total Login Failed Attempts
    [Documentation]    Test case for validating that the merchant is able to view number of recent and total login failed attempts functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Merchant Details    ${MERCHANT_DETAILS}
    View Number Of Recent And Total Login Failed Attempts",This test case checks the validation for viewing number of recent and total login failed attempts functionality of the PayNOW datadriver.,Validate View Number Of Recent And Total Login Failed Attempts
Generate a robot framework test case for testing to Validate Merchant Is Able To Expand And Collapse Customer Details In Failed PayNOW Logins functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the merchant is able to expand and collapse customer details in failed PayNOW logins functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${MERCHANT_DETAILS}          merchant_details

*** Test Cases ***
Validate Expand And Collapse Customer Details In Failed PayNOW Logins
    [Documentation]    Test case for validating that the merchant is able to expand and collapse customer details in failed PayNOW logins functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Merchant Details    ${MERCHANT_DETAILS}
    Expand And Collapse Customer Details In Failed PayNOW Logins",This test case checks the validation for expanding and collapsing customer details in failed PayNOW logins functionality of the PayNOW datadriver.,Validate Expand And Collapse Customer Details In Failed PayNOW Logins
Generate a robot framework test case for testing to Validate Merchant Is Able To View First And Last Login Failed Attempt functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the merchant is able to view first and last login failed attempt functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${MERCHANT_DETAILS}          merchant_details

*** Test Cases ***
Validate View First And Last Login Failed Attempt
    [Documentation]    Test case for validating that the merchant is able to view first and last login failed attempt functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Merchant Details    ${MERCHANT_DETAILS}
    View First And Last Login Failed Attempt",This test case checks the validation for viewing first and last login failed attempt functionality of the PayNOW datadriver.,Validate View First And Last Login Failed Attempt
Generate a robot framework test case for testing to Validate Merchant Is Able To Create And View Scheduled Payment Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the merchant is able to create and view scheduled payment details functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${MERCHANT_DETAILS}          merchant_details

*** Test Cases ***
Validate Create And View Scheduled Payment Details
    [Documentation]    Test case for validating that the merchant is able to create and view scheduled payment details functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Merchant Details    ${MERCHANT_DETAILS}
    Create Scheduled Payment
    View Scheduled Payment Details",This test case checks the validation for creating and viewing scheduled payment details functionality of the PayNOW datadriver.,Validate Create And View Scheduled Payment Details
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Customer Details From Scheduled Payments functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the merchant is able to navigate to customer details from scheduled payments functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${MERCHANT_DETAILS}          merchant_details

*** Test Cases ***
Validate Navigate To Customer Details From Scheduled Payments
    [Documentation]    Test case for validating that the merchant is able to navigate to customer details from scheduled payments functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Merchant Details    ${MERCHANT_DETAILS}
    Navigate To Customer Details From Scheduled Payments",This test case checks the validation for navigating to customer details from scheduled payments functionality of the PayNOW datadriver.,Validate Navigate To Customer Details From Scheduled Payments
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Invoice Details Page From Scheduled Payments functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the merchant is able to navigate to invoice details page from scheduled payments functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${MERCHANT_DETAILS}          merchant_details

*** Test Cases ***
Validate Navigate To Invoice Details Page From Scheduled Payments
    [Documentation]    Test case for validating that the merchant is able to navigate to invoice details page from scheduled payments functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Merchant Details    ${MERCHANT_DETAILS}
    Navigate To Invoice Details Page From Scheduled Payments",This test case checks the validation for navigating to invoice details page from scheduled payments functionality of the PayNOW datadriver.,Validate Navigate To Invoice Details Page From Scheduled Payments
Generate a robot framework test case for testing to Validate Merchant Is Unable To Process Transaction With More Than Due Amount For LumpSum functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is unable to process transaction with more than due amount for LumpSum functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate Unable To Process Transaction With More Than Due Amount For LumpSum
    [Documentation] Test case for validating that the merchant is unable to process transaction with more than due amount for LumpSum functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Attempt To Process Transaction With More Than Due Amount For LumpSum
    Validate Transaction Rejected",This test case checks the validation for being unable to process transaction with more than due amount for LumpSum functionality of the PayNOW datadriver.,Validate Unable To Process Transaction With More Than Due Amount For LumpSum
Generate a robot framework test case for testing to Validate Merchant Is Unable To Process Transaction With More Than Due Amount for Specific Invoice functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is unable to process transaction with more than due amount for specific invoice functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate Unable To Process Transaction With More Than Due Amount for Specific Invoice
    [Documentation] Test case for validating that the merchant is unable to process transaction with more than due amount for specific invoice functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Attempt To Process Transaction With More Than Due Amount for Specific Invoice
    Validate Transaction Rejected",This test case checks the validation for being unable to process transaction with more than due amount for specific invoice functionality of the PayNOW datadriver.,Validate Unable To Process Transaction With More Than Due Amount for Specific Invoice
Generate a robot framework test case for testing to Validate Merchant Is Able To View Searched With Customer Number functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is able to view searched with customer number functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate View Searched With Customer Number
    [Documentation] Test case for validating that the merchant is able to view searched with customer number functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Search With Customer Number
    Validate Search Results",This test case checks the validation for viewing searched with customer number functionality of the PayNOW datadriver.,Validate View Searched With Customer Number
