Prompt,Response,Description,Testcase name
Generate a Robot Framework test case for testing to validate account number functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating account number functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${NON_INTEGRATED_MERCHANT}   NON_INTEGRATED_MERCHANT
${CUSTOMER_DETAILS}          customer_details
${PAYMENT_TYPE}              Lump Sum
${LUMPSUM_AMOUNT}            1
${PAYMENT_METHOD}            ACH / eCheck
${ACH_ECHECK_DETAILS}        ACH_ECHECK_DETAILS
${ERROR_MESSAGE}             customer_details.Error_Message

*** Test Cases ***
Validate Account Number Functionality Of PayNOW
    [Documentation]    Test case for validating account number functionality of the PayNOW datadriver
    Launch PayNow Application    ${NON_INTEGRATED_MERCHANT}
    Enter Customer Details    ${CUSTOMER_DETAILS}    ${NON_INTEGRATED_MERCHANT}
    Select Payment Type    ${PAYMENT_TYPE}
    Enter Lumpsum Amount    ${LUMPSUM_AMOUNT}
    Select Payment Method    ${PAYMENT_METHOD}
    Enter ACH/ECheck Details    ${ACH_ECHECK_DETAILS}
    Validate Errors After Clicking On Process Invoice    ${ERROR_MESSAGE}
    Process Invoice Payment
    Validate Payment Receipt Is Generated",This test case checks the account number validation functionality for the PayNOW datadriver.,Validate Account Number Functionality Of PayNOW
Generate a Robot Framework test case for testing to validate invoice number functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating invoice number functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${NON_INTEGRATED_MERCHANT}   NON_INTEGRATED_MERCHANT
${CUSTOMER_DETAILS}          customer_details
${PAYMENT_TYPE}              Lump Sum
${SPECIFIC_INVOICE}          specific_invoice
${ACH_ECHECK_DETAILS}        ACH_ECHECK_DETAILS
${ERROR_MESSAGE}             specific invoice.Error_Message

*** Test Cases ***
Validate Invoice Number Functionality Of PayNOW
    [Documentation]    Test case for validating invoice number functionality of the PayNOW datadriver
    Launch PayNow Application    ${NON_INTEGRATED_MERCHANT}
    Enter Customer Details    ${CUSTOMER_DETAILS}    ${NON_INTEGRATED_MERCHANT}
    Select Payment Type    ${PAYMENT_TYPE}
    Click On Add Invoice    1
    Validate Invoice Details With Invalid Data    test_case_validation    ${SPECIFIC_INVOICE}
    Select Payment Method    ${ACH_ECHECK_DETAILS}
    Validate Errors After Clicking On Process Invoice    ${ERROR_MESSAGE}
    Process Invoice Payment
    Validate Payment Receipt Is Generated",This test case checks the invoice number validation functionality for the PayNOW datadriver.,Validate Invoice Number Functionality Of PayNOW
Generate a Robot Framework test case for testing to validate credit card number functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating credit card number functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${NON_INTEGRATED_MERCHANT}   NON_INTEGRATED_MERCHANT
${CUSTOMER_DETAILS}          customer_details
${PAYMENT_TYPE}              Lump Sum
${LUMPSUM_AMOUNT}            1
${PAYMENT_METHOD}            Credit Card
${CREDITCARD_DETAILS}        creditcard_details
${ERROR_MESSAGE}             creditcard_details.Error_Message

*** Test Cases ***
Validate Credit Card Number Functionality Of PayNOW
    [Documentation]    Test case for validating credit card number functionality of the PayNOW datadriver
    Generate Random Customer Details
    Launch PayNow Application    ${NON_INTEGRATED_MERCHANT}
    Enter Customer Details    ${CUSTOMER_DETAILS}    ${NON_INTEGRATED_MERCHANT}
    Select Payment Type    ${PAYMENT_TYPE}
    Enter Lumpsum Amount    ${LUMPSUM_AMOUNT}
    Select Payment Method    ${PAYMENT_METHOD}
    Enter Credit Card Values    ${CREDITCARD_DETAILS}
    Validate Errors After Clicking On Process Invoice    ${ERROR_MESSAGE}
    Process Invoice Payment
    Validate Payment Receipt Is Generated",This test case checks the credit card number validation functionality for the PayNOW datadriver.,Validate Credit Card Number Functionality Of PayNOW
Generate a robot framework test case for testing to Validate Integrated Customer Is Able To Save All Account Type In ACHorEcheck Payment Method For Future Use functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that integrated customer is able to save all account types in ACHorEcheck payment method for future use functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${CUSTOMER_DETAILS}          customer_details
${ACH_DETAILS}               ach_details

*** Test Cases ***
Validate Save All Account Types In ACHorEcheck Payment Method For Future Use
    [Documentation]    Test case for validating that integrated customer is able to save all account types in ACHorEcheck payment method for future use functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Customer Details    ${CUSTOMER_DETAILS}
    Add ACHorEcheck Payment Method    ${ACH_DETAILS}    All Account Types
    Validate Payment Method Saved Successfully",This test case checks the validation for saving all account types in ACHorEcheck payment method for future use functionality of the PayNOW datadriver.,Validate Save All Account Types In ACHorEcheck Payment Method For Future Use
Generate a Robot Framework test case for testing to validate routing number functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating routing number functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${NON_INTEGRATED_MERCHANT}   NON_INTEGRATED_MERCHANT
${CUSTOMER_DETAILS}          customer_details
${PAYMENT_TYPE}              Lump Sum
${LUMPSUM_AMOUNT}            1
${PAYMENT_METHOD}            ACH / eCheck
${ACH_ECHECK_DETAILS}        echeck_details
${ERROR_MESSAGE}             Ach.Error_Message

*** Test Cases ***
Validate Routing Number Functionality Of PayNOW
    [Documentation]    Test case for validating routing number functionality of the PayNOW datadriver
    Launch PayNow Application    ${NON_INTEGRATED_MERCHANT}
    Enter Customer Details    ${CUSTOMER_DETAILS}    ${NON_INTEGRATED_MERCHANT}
    Select Payment Type    ${PAYMENT_TYPE}
    Enter Lumpsum Amount    ${LUMPSUM_AMOUNT}
    Select Payment Method    ${PAYMENT_METHOD}
    Enter ACH/ECheck Values    ${ACH_ECHECK_DETAILS}
    Validate Errors After Clicking On Process Invoice    ${ERROR_MESSAGE}
    Process Invoice Payment
    Validate Payment Receipt Is Generated",This test case checks the routing number validation functionality for the PayNOW datadriver.,Validate Routing Number Functionality Of PayNOW
Generate a Robot Framework test case for testing to validate process payment with Visa Debit card functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating process payment with Visa Debit card functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${NON_INTEGRATED_MERCHANT}   NON_INTEGRATED_MERCHANT
${CUSTOMER_DETAILS}          customer_details
${PAYMENT_TYPE}              Lump Sum
${LUMPSUM_AMOUNT}            1
${PAYMENT_METHOD}            Credit Card
${CREDITCARD_DETAILS}        creditcard_details
${ERROR_MESSAGE}             creditcard_details.Error_Message

*** Test Cases ***
Validate Process Payment With Visa Debit Card Functionality Of PayNOW
    [Documentation]    Test case for validating process payment with Visa Debit card functionality of the PayNOW datadriver
    Launch PayNow Application    ${NON_INTEGRATED_MERCHANT}
    Enter Customer Details    ${CUSTOMER_DETAILS}    ${NON_INTEGRATED_MERCHANT}
    Select Payment Type    ${PAYMENT_TYPE}
    Enter Lumpsum Amount    ${LUMPSUM_AMOUNT}
    Select Payment Method    ${PAYMENT_METHOD}
    Enter Credit Card Values    ${CREDITCARD_DETAILS}
    Validate Errors After Clicking On Process Invoice    ${ERROR_MESSAGE}
    Process Invoice Payment
    Validate Payment Receipt Is Generated",This test case checks the process payment functionality with Visa Debit card for the PayNOW datadriver.,Validate Process Payment With Visa Debit Card Functionality Of PayNOW
Generate a Robot Framework test case for testing to validate customer is unable to login into Paynow with invalid account number and valid or invalid invoice number functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the customer is unable to log in to PayNOW with an invalid account number and valid or invalid invoice number functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${NON_INTEGRATED_MERCHANT}   NON_INTEGRATED_MERCHANT
${ACCOUNT_NUMBER}            login_details.Account_Number
${INVOICE_NUMBER}            login_details.Invoice_Number
${ERROR_MESSAGE}             login_details.Error_Message
${ACCOUNT_NO}                login_details.Account_No
${CUSTOMER_NAME}             login_details.Customer_Name

*** Test Cases ***
Validate Customer Is Unable To Login With Invalid Account Number And Valid Or Invalid Invoice Number
    [Documentation]    Test case for validating that the customer is unable to log in to PayNOW with an invalid account number and valid or invalid invoice number functionality of the PayNOW datadriver
    Launch PayNow Application    ${NON_INTEGRATED_MERCHANT}
    Enter Account Number And Invoice    ${ACCOUNT_NUMBER}    ${INVOICE_NUMBER}
    Validate Error Message Is Displayed    ${ERROR_MESSAGE}
    Validate Account Number Is Displayed    ${ACCOUNT_NO}    ${CUSTOMER_NAME}",This test case checks the validation for customer login with an invalid account number and valid or invalid invoice number functionality of the PayNOW datadriver.,Validate Customer Is Unable To Login With Invalid Account Number And Valid Or Invalid Invoice Number
Generate a Robot Framework test case for testing to validate customer is unable to login without invoice number functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the customer is unable to log in without an invoice number functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${OMNICORP_MERCHANT}         OMNICORP_MERCHANT
${ACCOUNT_NUMBER}            login_details.Account_Number
${ERROR_MESSAGE}             login_details.Error_Message1

*** Test Cases ***
Validate Customer Is Unable To Login Without Invoice Number
    [Documentation]    Test case for validating that the customer is unable to log in without an invoice number functionality of the PayNOW datadriver
    Launch PayNow Application    ${OMNICORP_MERCHANT}
    Enter Account Number And Invoice Number    ${ACCOUNT_NUMBER}
    Validate Error Message For Empty Details    ${ACCOUNT_NUMBER}
    Validate Error Message Is Displayed    ${ERROR_MESSAGE}",This test case checks the validation for customer login without an invoice number functionality of the PayNOW datadriver.,Validate Customer Is Unable To Login Without Invoice Number
Generate a Robot Framework test case for testing to validate merchant is able to schedule payment with master credit card functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the merchant is able to schedule payment with Master Credit Card functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${OMNICORP_MERCHANT}         OMNICORP_MERCHANT
${ACCOUNT_NUMBER}            account_number
${INVOICE_NUMBER}            invoice_number
${CUSTOMER_DETAILS}          customer_details
${CREDIT_CARD_NUMBER}        Scheduled_Payments.Creditcard_Number
${EXPIRY_DATE}               Scheduled_Payments.Expiry_Date
${CVV}                       Scheduled_Payments.CVV
${SCHEDULED_STATUS}          Scheduled_Payments.Status

*** Test Cases ***
Validate Merchant Is Able To Schedule Payment With Master Credit Card
    [Documentation]    Test case for validating that the merchant is able to schedule payment with Master Credit Card functionality of the PayNOW datadriver
    Launch PayNow Application    ${OMNICORP_MERCHANT}
    Enter Account Number And Invoice    ${ACCOUNT_NUMBER}    ${INVOICE_NUMBER}
    Enter Customer Details    ${CUSTOMER_DETAILS}    ${OMNICORP_MERCHANT}
    Select Payment Method    Credit Card
    Enter Credit Card Details    ${CREDIT_CARD_NUMBER}    ${EXPIRY_DATE}    ${CVV}
    Select Payment Date    today+1
    Create Schedule Payment
    Send Event To Process Schedule Payment    ${ACCOUNT_NUMBER}    ${INVOICE_NUMBER}
    Validate Scheduled Payment Status    ${ACCOUNT_NUMBER}    ${INVOICE_NUMBER}    ${SCHEDULED_STATUS}",This test case checks the validation for scheduling payment with Master Credit Card functionality of the PayNOW datadriver.,Validate Merchant Is Able To Schedule Payment With Master Credit Card
Generate a Robot Framework test case for testing to validate customer is able to process payment for CONNETICUT State (CT) with Credit card functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the customer is able to process payment for Connecticut State (CT) with Credit Card functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${STERLING_COOPER_MERCHANT}  STERLING_COOPER_MERCHANT
${ACCOUNT_NUMBER}            account_number
${INVOICE_NUMBER}            invoice_number
${STATES}                    states
${PAYMENT_TYPE}              Lump Sum
${LUMPSUM_AMOUNT}            1
${PAYMENT_METHOD}            Credit Card
${CREDIT_CARD_DETAILS}       CREDIT_CARD_DETAILS
${SURCHARGE_PERCENTAGE}      states.Surcharge_Percentage

*** Test Cases ***
Validate Customer Is Able To Process Payment For Connecticut State With Credit Card
    [Documentation]    Test case for validating that the customer is able to process payment for Connecticut State (CT) with Credit Card functionality of the PayNOW datadriver
    Send Request To Create Customer    ${STERLING_COOPER_MERCHANT}
    Send Request To Create Invoice For Customer    ${ACCOUNT_NUMBER}    ${STERLING_COOPER_MERCHANT}
    Launch PayNow Application    ${STERLING_COOPER_MERCHANT}
    Enter Account Number And Invoice    ${ACCOUNT_NUMBER}    ${INVOICE_NUMBER}
    Enter Customer Details    ${STATES}    ${STERLING_COOPER_MERCHANT}
    Select Payment Type    ${PAYMENT_TYPE}
    Enter Lumpsum Amount    ${LUMPSUM_AMOUNT}
    Select Payment Method    ${PAYMENT_METHOD}
    Enter Credit Card Details    ${CREDIT_CARD_DETAILS}
    Validate Surcharge Percentage Should Be Equal    ${SURCHARGE_PERCENTAGE}",This test case checks the validation for processing payment for Connecticut State (CT) with Credit Card functionality of the PayNOW datadriver.,Validate Customer Is Able To Process Payment For Connecticut State With Credit Card
