Prompt,Response,Description,Testcase name,Testcase Name
Generate a robot framework test case for testing to Validate Merchant Is Unable To Process Transaction With More Than Due Amount For LumpSum functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is unable to process transaction with more than due amount for lump sum functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate Unable To Process Transaction With More Than Due Amount For LumpSum
    [Documentation] Test case for validating that the merchant is unable to process transaction with more than due amount for lump sum functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Attempt To Process Transaction With More Than Due Amount For LumpSum
    Validate Transaction Failure",This test case checks the validation for processing transaction with more than due amount for lump sum functionality of the PayNOW datadriver.,Validate Unable To Process Transaction With More Than Due Amount For LumpSum,
Generate a robot framework test case for testing to Validate Merchant Is Unable To Process Transaction With More Than Due Amount for Specific Invoice functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is unable to process transaction with more than due amount for specific invoice functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate Unable To Process Transaction With More Than Due Amount for Specific Invoice
    [Documentation] Test case for validating that the merchant is unable to process transaction with more than due amount for specific invoice functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Attempt To Process Transaction With More Than Due Amount for Specific Invoice
    Validate Transaction Failure",This test case checks the validation for processing transaction with more than due amount for specific invoice functionality of the PayNOW datadriver.,Validate Unable To Process Transaction With More Than Due Amount for Specific Invoice,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Searched With Customer Number functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is able to view searched with customer number functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate View Searched With Customer Number
    [Documentation] Test case for validating that the merchant is able to view searched with customer number functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Search With Customer Number
    Validate Search Results",This test case checks the validation for viewing searched with customer number functionality of the PayNOW datadriver.,Validate View Searched With Customer Number,
Generate a robot framework test case for testing to Validate Merchant Is Unable To Process Transaction With Negative Amount Due In Specific Invoice functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is unable to process transaction with negative amount due in specific invoice functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate Unable To Process Transaction With Negative Amount Due In Specific Invoice
    [Documentation] Test case for validating that the merchant is unable to process transaction with negative amount due in specific invoice functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Attempt To Process Transaction With Negative Amount Due In Specific Invoice
    Validate Transaction Failure",This test case checks the validation for processing transaction with negative amount due in specific invoice functionality of the PayNOW datadriver.,Validate Unable To Process Transaction With Negative Amount Due In Specific Invoice,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Surcharge Exempt Is Applied For Customer In Virtual Terminal functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is able to view surcharge exempt is applied for customer in virtual terminal functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate View Surcharge Exempt Is Applied For Customer In Virtual Terminal
    [Documentation] Test case for validating that the merchant is able to view surcharge exempt is applied for customer in virtual terminal functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    View Surcharge Exempt Status In Virtual Terminal",This test case checks the validation for viewing surcharge exempt is applied for customer in virtual terminal functionality of the PayNOW datadriver.,Validate View Surcharge Exempt Is Applied For Customer In Virtual Terminal,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Surcharge And Change In Total Amount After Selecting Multiple Invoices functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is able to view surcharge and change in total amount after selecting multiple invoices functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate View Surcharge And Change In Total Amount After Selecting Multiple Invoices
    [Documentation] Test case for validating that the merchant is able to view surcharge and change in total amount after selecting multiple invoices functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Select Multiple Invoices
    View Surcharge And Total Amount Change",This test case checks the validation for viewing surcharge and change in total amount after selecting multiple invoices functionality of the PayNOW datadriver.,Validate View Surcharge And Change In Total Amount After Selecting Multiple Invoices,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Surcharge Exempt Is Applied For Customer In PayNOW functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is able to view surcharge exempt is applied for customer in PayNOW functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate View Surcharge Exempt Is Applied For Customer In PayNOW
    [Documentation] Test case for validating that the merchant is able to view surcharge exempt is applied for customer in PayNOW functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    View Surcharge Exempt Status In PayNOW",This test case checks the validation for viewing surcharge exempt is applied for customer in PayNOW functionality of the PayNOW datadriver.,Validate View Surcharge Exempt Is Applied For Customer In PayNOW,
Generate a robot framework test case for testing to Validate Merchant Is Able To Custom Date Range And View Payment Status Summary And Payment Date In Grid functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is able to custom date range and view payment status summary and payment date in grid functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate Custom Date Range And View Payment Status Summary And Payment Date In Grid
    [Documentation] Test case for validating that the merchant is able to custom date range and view payment status summary and payment date in grid functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Set Custom Date Range
    View Payment Status Summary And Payment Date In Grid",This test case checks the validation for custom date range and viewing payment status summary and payment date in grid functionality of the PayNOW datadriver.,Validate Custom Date Range And View Payment Status Summary And Payment Date In Grid,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Filtered Invoice In Payment Status functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is able to view filtered invoice in payment status functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate View Filtered Invoice In Payment Status
    [Documentation] Test case for validating that the merchant is able to view filtered invoice in payment status functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Apply Invoice Filter
    View Filtered Invoice In Payment Status",This test case checks the validation for viewing filtered invoice in payment status functionality of the PayNOW datadriver.,Validate View Filtered Invoice In Payment Status,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Received Transactions Payment Status And Payment Information (i) In Payment Status functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is able to view received transactions payment status and payment information (i) in payment status functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate View Received Transactions Payment Status And Payment Information (i) In Payment Status
    [Documentation] Test case for validating that the merchant is able to view received transactions payment status and payment information (i) in payment status functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    View Received Transactions Payment Status And Payment Information (i) In Payment Status",This test case checks the validation for viewing received transactions payment status and payment information (i) in payment status functionality of the PayNOW datadriver.,Validate View Received Transactions Payment Status And Payment Information (i) In Payment Status,
